"","address","lat","lon","id","name","rating","types","type"
"1","aleja Waszyngtona 12/14, 03-910 Warszawa, Poland",52.238864,21.0563306,"912edce2a3013194aabcc60b6e393b8b6a1602da","Apteka Remedium",4.3,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"2","aleja Komisji Edukacji Narodowej 105, 02-722 Warszawa, Poland",52.160288,21.0280469,"31f6e89a457b76887c9228166790fa4d4f412d98","Apteka całodobowa Ziko",4.5,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"3","Broniewskiego 28, 01-771 Warszawa, Poland",52.2670215,20.9636414,"a19e826ed4f604bb6c4bd313cae30f00edcc967d","Ziko Apteka",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"4","Powstańców Śląskich 106D, Warszawa, Poland",52.2551002,20.919565,"9881c47aa8d7ee954401575056b30b9fa5b98020","Apteka",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"5","Leszno 38, 01-175 Warszawa, Poland",52.2374863,20.9723198,"aba99ad8f0d24af5e597db2c81ef96557d8dd3be","Apteka",4.6,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"6","Waleriana Czumy 3A, 01-555 Warszawa, Poland",52.2373487,20.9122261,"0cb3b56c3699353055541dbf32bfa438abc02d7a","Apteka",4.2,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"7","Puławska 427, Warszawa, Poland",52.1411118,21.0258798,"a3a84e1adfa65b720971ab8f05b8a36e89f9d659","APTEKA DR ZDROWIE",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"8","Puławska 23/25, Warszawa, Poland",52.2094195,21.0217505,"879084c7096e86040b0a2fd1172ec2a592a37862","Super-Pharm",NA,"{pharmacy: 1, health: 1, clothing_store: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"9","Fieldorfa 41, Warszawa, Poland",52.2322961,21.0932104,"03c8a36d8d54536112c648f0bb11cdd38c5da88b","APTEKA DR ZDROWIE",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"10","Aleje Jerozolimskie 148, Warszawa, Poland",52.2123468,20.9515313,"ae12f243af3106c5c5da64ea83aacb327d2506b0","APTEKA DR ZDROWIE",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"11","Złota 59, 00-120 Warszawa, Poland",52.2304907,21.0020241,"408dd6c88a1eddfb5ae7074e06d4dd7c1787c248","Super-Pharm",NA,"{pharmacy: 1, health: 1, clothing_store: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"12","Grójecka 76, 02-001 Warszawa, Poland",52.2121718,20.9767119,"5bba03b6bdb86449cb576fdfb5a0862a59024453","Farm Jed Sp. z o.o. Apteka",2.7,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"13","Powsińska 31, Warszawa, Poland",52.187681,21.0612772,"33c790eb34a0384249bca63ab699fb4358f7bd06","APTEKA DR ZDROWIE",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"14","Chodecka 4, 03-333 Warszawa, Poland",52.2878479,21.041217,"23d53a01b99b55ea9e31d87b63419573d7216c5c","Apteka",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"15","Żwirki i Wigury 43a, 02-091 Warszawa, Poland",52.1989101,20.9830692,"2dab6f5b0bd6f9b3dbfb54772aef967a08578f63","Apteka",4.3,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"16","Połczyńska 121/125, 01-303 Warszawa, Poland",52.214339,20.883667,"ffc30c69031bdbe6bf01512947f728fb01f2bc49","Euro-Apteka",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"17","Belgradzka 14, Warszawa, Poland",52.140482,21.0588374,"f13f855293bf38cf0cba482508212bfb13fc7e9f","Super-Pharm",3.7,"{pharmacy: 1, health: 1, clothing_store: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
