Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Bielany,Bursa nr 8,Zespół Placówek Opiekuńczo-Wychowawczych,Aleja Władysława Reymonta 16 Warszawa,Małgorzata Gontarek,228348684,przeglądaj
Śródmieście,Bursa Szkolna nr 1 im. Wiktora Kordowicza,Zespół Placówek - Europejski Dom Spotkań Młodzieży,ul. Długa 18/20 Warszawa,Henryk Głuski,228311545,przeglądaj
Wola,Bursa Szkolna nr 4,Bursa Szkolna nr 4,ul. Księcia Janusza 45/47 Warszawa,Jakub Czarkowski,228361813,przeglądaj
Praga Południe,Bursa Szkolna nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,Bursa Szkolna nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,ul. Zagójska 3 Warszawa,Marta Baj,228108488,przeglądaj
Wola,Bursa Szkolna nr 6,Bursa Szkolna nr 6,ul. Okopowa 55a Warszawa,Edyta Pałubińska,228389596,przeglądaj
Praga Południe,Centrum Kształcenia Praktycznego,Centrum Kształcenia Praktycznego,ul. Mińska 1/5 Warszawa,Stanisław Karolkiewicz,226190038,przeglądaj
Wola,Centrum Kształcenia Ustawicznego nr 3,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Targówek,CII Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. księdza Józefa Woźniaka,Zespół Szkół z Oddziałami Integracyjnymi nr 41,ul. Bartnicza 2 Warszawa,Małgorzata Kober,228111820,przeglądaj
Praga Południe,CIV Liceum Ogólnokształcące dla Dorosłych,Centrum Kształcenia Ustawicznego nr 5,ul. Mińska 1/5 Warszawa,Beata Giziewicz,228187021,przeglądaj
Ursynów,CIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Heleny Modrzejewskiej,CIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Heleny Modrzejewskiej,ul. Edwarda Warchałowskiego 4 Warszawa,Wanda Skrzypczyk,226435756,przeglądaj
