"","address","lat","lon","id","name","rating","types","type"
"1","Rakowiecka 47, Warszawa, Poland",52.2067652,21.0048187,"c76228eeea0e089dd06e3044d9196d8d17a908f4","Salon fryzjerski Haircut Express",2.9,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"2","Centrum Handlowe Blue City, Aleje Jerozolimskie 179, 02-222 Warszawa, Poland",52.212621,20.956242,"30c39d74292aa4afea9b7d90378cee1869c16d46","Jean Louis David",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"3","Chmielna 34, 00-020 Warszawa, Poland",52.2320179,21.0120669,"10d6a253b08e7d10feb62dcd5896b87cdd6e551b","Haircut Express",4,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"4","Aleje Jerozolimskie 42, 00-024 Warszawa, Poland",52.2308475,21.015394,"cc25b1b23abe5a2dd284504da8bd0b03575244b9","HEST Salon Fryzjersko-Kosmetyczny",4,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"5","Sternicza 103, Warszawa, Poland",52.22128,20.907708,"dad4473327d2e47fa443a4368369b62877ec5fc8","Mobilny fryzjer",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"6","Okulickiego 10, 05-500 Piaseczno, Poland",52.0811734,21.0277426,"46bfffbfb7d12451b7116540ab83b95d9b64a6af","StarCut Salon Fryzjerski",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"7","Zygmunta Słomińskiego 5, 00-195 Warszawa, Poland",52.2570765,20.9941809,"6899cf32e4214c89b55ac1efb549e0020d35833c","Exclusive Style - Katarzyna Ciołkowska",NA,"{beauty_salon: 1, hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"8","02-356, Pribo City, Bitwy Warszawskiej 1920 r. 23, 02-366 Warszawa, Poland",52.2154636,20.9615024,"74c3d8f50f03469de5d167ac7d54e827770e6c07","Haircut Express",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"9","aleja Komisji Edukacji Narodowej 14, Warszawa, Poland",52.1298537,21.0691602,"9fea0e700b0350a6bf8f8729b164f4d6ccb8b7a0","Hair Max",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"10","plac Zawiszy 1, 02-025 Warszawa, Poland",52.224217,20.988972,"43bb53ba14ea890ba30552b6f412f08196118dd4","Salon Fryzjerski For Hair Hotel Radisson Blu Sobieski",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"11","Dobra 29, 00-344 Warszawa, Poland",52.238648,21.027562,"e9a765d6883dfaabe60fd13fab43e9391d048c83","ZACISZE STYLU- Salon fryzjersko- kosmetyczny",NA,"{beauty_salon: 1, hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"12","aleja Komisji Edukacji Narodowej 36, Warszawa, Poland",52.1394058,21.0584945,"6297d0299415dc33f3bdbd8f468b6fdbeb05b25a","Agneess. Salon fryzjerski",4.2,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"13","Josepa Conrada 8 lok 1, 01-903 Warszawa, Poland",52.2723782,20.9285474,"7a9e45478408f007aa08a12312c183271ebe8b63","Pracownia Urody | Medycyna estetyczna, Fryzjer, Kosmetyczka",NA,"{beauty_salon: 1, hair_care: 1, health: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"14","Lokal 29, aleja 3 Maja 2, 00-419 Warszawa, Poland",52.2352143,21.0350902,"ffd4035e81ffb7ca870563e0b34a5c655814bd07","Haircology",4.7,"{beauty_salon: 1, hair_care: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"15","Dolna 15, Warszawa, Poland",52.20064,21.030704,"1b8fff9d3d348fa48a6f3442e29c2bd0459b89c3","Salon Euforia",NA,"{beauty_salon: 1, hair_care: 1, health: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"16","Jagiellońska 92, 05-120 Legionowo, Poland",52.4098936,20.9162012,"d5b5115cadb008d07934795d8a3fd628fe0749c8","STUDIO URODY",NA,"{beauty_salon: 1, hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"17","Kopernika 23, 00-359 Warszawa, Poland",52.2362572,21.0203089,"1ce2fc00709ac944f9509d51563e956bfe4f8065","Pracownia Fryzjerska Hair Atelier S.C.",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"18","Puławska 87/89, 02-595 Warszawa, Poland",52.200295,21.024284,"7702e8d78a7de5ede6cf5457c08ccc6a0ea2bf5e","Twoja METAMORFOZA Akademia Metamorfoz - kurs makijażu, osobista stylistka, nauka makijażu",NA,"{beauty_salon: 1, hair_care: 1, health: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"19","Sokołowska 7, 01-142 Warszawa, Poland",52.2341045,20.9599614,"924d564cdb88477db2a746160a9d7f573c5e69c1","Medicorr Cen­trum Fryzjerstwa, Kos­me­tyki i Medy­cyny Este­ty­cznej",NA,"{hair_care: 1, spa: 1, health: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"20","Majdańska 13, Warszawa, Poland",52.240714,21.084673,"50cc23ec9152710d156ab201165576dfa4fc983d","Vienna. Salon fryzjerski. Zięba B.",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"41","Aleje Jerozolimskie 179, lokal 35, 02-222 Warszawa, Poland",52.212822,20.955607,"c9eefbc259fccfbe3dace2ac064df6ada993012b","Marco Aldany - Salon Fryzjerski",4.5,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"42","gen. Felicjana Sławoja Składkowskiego 4, 02-497 Warszawa, Poland",52.1880976,20.9016398,"15920c40cc37cfc378497323727130e574a1b8bc","KELIS STUDIO URODY",NA,"{beauty_salon: 1, hair_care: 1, health: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"43","Mehoffera 84, 03-118 Warszawa, Poland",52.3346987,20.9626367,"4cba754a92284c4ab43f2d530baa20c16b5e6682","STUDIO FRYZUR & PIELĘGNACJI DŁONI",NA,"{beauty_salon: 1, hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"44","Jubilerska 1/3, 04-190 Warszawa, Poland",52.235564,21.119561,"9f3148d35c79b9a3f0ed6dbfd827c99dad9cf74f","Salon Urody Żoli",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"45","Okopowa 58/72, 01-042 Warszawa, Poland",52.2475686,20.9793213,"924c571ec84fbe91ec42f23ff35d871869d9d23c","Miodek Hair House. Rafał Miodek. Salon Klif",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"46","Pabla Picassa 9, 05-140 Serock, Poland",52.5166641,21.0622343,"6942378f7cdea3e1e95d615c30f40a4c5bc8a608","Picasso. Salon fryzjerski",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"47","aleja Niepodległości 92/98, 02-001 Warszawa, Poland",52.198505,21.012755,"3c1f69fa9c649442f356b18312d9fb0e39ba0644","Salon kosmetyczny Denique",3.6,"{beauty_salon: 1, hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"48","Patriotów 193/195, 04-858 Warszawa, Poland",52.1818049,21.1902736,"2c8d0bc32f281b45516ff1ce4209a5201210543c","TO JEST TO",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"49","Rembielińska 20, 03-352 Warszawa, Poland",52.2887007,21.0306191,"36330dd1f88b1b8c066142bc0f5a9a7f512294fb","Akademia Wizerunku L'Oreal Professionnel",NA,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"50","Szkolna 9, 05-090 Raszyn, Poland",52.1549059,20.925528,"e04c2fa4682d09e2a43492cd8dc61bc664fccc94","Magia Dotyku Day Spa",NA,"{spa: 1, hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
"51","Rembielińska 20, 03-352 Warszawa, Poland",52.2901208,21.0299108,"0e2cc206c6a61ef3fabac795890a0180b00c769b","Salon Lok & Roll - Galeria Renova",3.2,"{hair_care: 1, point_of_interest: 1, establishment: 1}","fryzjer"
