"","address","lat","lon","id","name","rating","types","type"
"1","Daleka 11, Grodzisk Mazowiecki, Poland",52.0948193,20.615826,"b5fe7765fb8c649f1f076199c8625202842f30ac","Samodzielny Publiczny Specjalistyczny Szpital Zachodni im. Jana Pawła II",2.6,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"2","Wałbrzyska 11, Warszawa, Poland",52.172089,21.025263,"cb861b5183592c74200e0da739dbd135b2ed4ff3","Centrum Medyczne Krajmed",3.9,"{hospital: 1, doctor: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"3","aleja Jana Pawła II 27, 00-867 Warszawa, Poland",52.237929,20.995659,"d7144fa51fce163c70535ffa64cf3b97ce08bb76","Stomatologia Medicover",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"4","Modzelewskiego 58, 02-679 Warszawa, Poland",52.1820639,21.014329,"de9fd7b0398c7c1f324b8754fda0e62c8302bf1b","Corten Medic. Centrum medyczne",3.9,"{hospital: 1, doctor: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"5","pasaż Ursynowski 9, Warszawa, Poland",52.1564435,21.0308529,"87422d093ff24b99d880947d66586b8bcb71ad4d","Corten Medic",3.4,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"6","Makolągwy 21, 02-811 Warszawa, Poland",52.1446619,21.0265959,"4ef21a6067011d4bd78e686f333b639fa019b76c","Corten Medic Centrum Medyczne",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"7","1 Sierpnia 8, 02-134 Warszawa, Poland",52.1914653,20.9824505,"a0c6eda2aa04c0830326f8e9c81a3a9a3e5b672c","Centrum Medyczne LUX MED",3,"{hospital: 1, doctor: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"8","Sienna 83, 00-815 Warszawa, Poland",52.229961,20.9933499,"8c5d3ab5941f231d08313ea6946fb36703e555b7","MD Clinic Przychodnia Wielospecjalistyczna",NA,"{physiotherapist: 1, hospital: 1, doctor: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"9","Cynamonowa 47, Warszawa, Poland",52.1535809,21.043103,"771760d118cde89a499f7e2ea6b5cab8a555245a","Agamed Trans",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"10","Skargi 10, 05-600 Grójec, Poland",51.867821,20.868455,"138d73b69e56dab95af18e203de1b78131a0d1e5","Powiatowe Centrum Medyczne w Grójcu",1.2,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"11","Puławska 49, 05-500 Piaseczno, Poland",52.0974498,21.0184966,"f1d7ba6c6572ab21d5f802609a774df1cb2195b9","Centrum Medyczne CMP",2.4,"{dentist: 1, hospital: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"12","ul. Sokołowska 9, lok. U28, 01-142 Warszawa, Poland",52.235595,20.959361,"a821ef8b62640f9bd4813bfd325ea48d1b64723a","Centrum Dermatologii, Laseroterapii i Medycyny Estetycznej ""Bejda Medical sp. z o.o."" sp. k.",4.1,"{beauty_salon: 1, hair_care: 1, hospital: 1, doctor: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"13","Zygmunta Słomińskiego 19/517, 00-195 Warszawa, Poland",52.254789,20.9852104,"00576f666bf9a5824067e986938c27872a82f07e","Przychodnia Babka Medica",4.2,"{hospital: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"14","Adama Mickiewicza 39, 05-500 Piaseczno, Poland",52.0628468,21.0248692,"f8b6cc866601134780f9fe66611399bd4ed235a5","EMC Szpitale _ Szpital św. Anny",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"15","Prosta 69, 00-838 Warszawa, Poland",52.2293897,20.982272,"4f73641860db63d9577cfedaa93f93b3a685124a","Rex Medica Sport",4.6,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"16","Wronia 53, 00-867 Warszawa, Poland",52.2373406,20.9837324,"46e3254c2f50174b79b46c2f6afb5e568e830b14","Centrum Medyczne WellMed",4.2,"{hospital: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"17","Komisji Edukacji Narodowej 1, 07-200 Wyszków, Poland",52.5864233,21.4440268,"438edb79dfc96039b8c6a84750389008a6555938","Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"18","Wynalazek 4, 02-677 Warszawa, Poland",52.1783795,20.993804,"4b1bb7290a6eb657e37618808cd647953246c2e7","Warsaw Medical Center",NA,"{hospital: 1, health: 1, point_of_interest: 1, establishment: 1}","hospital"
"19","Piotra Wysockiego 22, Wołomin, Poland",52.3426141,21.2393695,"4536099848235ea149f14b114373d6e3c4129c23","Flebo Specjalistyczne Centrum Medyczne",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
"20","Skargi 10, 05-600 Grójec, Poland",51.8680795,20.8680679,"f998cf97a6c50d80553f0ef7f563b6f28e7caf43","Parking Szpitalny",NA,"{hospital: 1, point_of_interest: 1, establishment: 1}","hospital"
