"","address","lat","lon","id","name","rating","types","type"
"1","Piłsudskiego 1 paw. 149, 05-270 Marki, Poland",52.32137,21.103223,"b6e1e6b7ce7d38bfcad91f6dedeb5d9e23010175","KANTOR WYMIANY WALUT MAŁGORZATA SULEJEWSKA-BULA",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"2","Jubilerska 1/3, Warszawa, Poland",52.235774,21.1200507,"bd041cb6ade0f932b0651e7d7ca21b8599892e15","Kantor",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"3","Wołoska 12, 02-675 Warszawa, Poland",52.179056,21.0038007,"568be134136e9f8dc2c60377790d6c3afd5e19d9","Apollo. Kantor",4.4,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"4","Jutrzenki 156, 02-001 Warszawa, Poland",52.1996041,20.936027,"25883a79fa069ce3b40d973d6bfa2d11fef61490","Kantor Włochy",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"5","Targowa 72, Warszawa, Poland",52.2545873,21.0357177,"e6bbdb844a86841c55dfa6d83e158feb0fae6feb","Wiek. Kantor wymiany walut",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"6","aleja Jana Pawła II 82, 00-175 Warszawa, Poland",52.2573732,20.9845828,"828db23d384127636e68484cbeacd36ea189fb93","Wiek II. Kantor wymiany walut",3.6,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"7","Piękna 11, Warszawa, Poland",52.223397,21.01981,"2856865f5f55750ac181d4bc76bc8d4ad50d3b54","Bilion. Kantor wymiany walut",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"8","Świętokrzyska 18, 00-001 Warszawa, Poland",52.2361734,21.0113526,"6c4ee215c651e9b07a8c15d4173867d0c9549305","Kantor Wymiany Walut Centrum Warszawa",NA,"{finance: 1, store: 1, point_of_interest: 1, establishment: 1}","kantor"
"9","Pasłęcka 8, 03-137 Warszawa, Poland",52.332392,20.9489882,"2f72f25ff43d76cd79145e3b07d7d0e903f10908","Kantor wymiany walut ""Pod Dębami""",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"10","ul. Ciszewskiego 15, 02-001 Warszawa, Poland",52.1539284,21.0407486,"1b24d7ebb1c3cabbdefdb5b61fb25b42a6c3b97e","Kantor Wymiany Walut, CH KEN Center",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"11","Puławska 2, Warszawa, Poland",52.2127215,21.0198283,"3f9dec13a2c0a28680d81188d769234cad9da196","Kantor Wymiany Walut, CH Plac Unii",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"12","Aleje Jerozolimskie 33, Warszawa, Poland",52.2299618,21.0136706,"5d10288eb7849be26b19e54ce0aaf3842bc30447","Rybicki Antoni. Kantor",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"13","aleja Krakowska 61, Warszawa, Poland",52.1705899,20.9352784,"b53852c9da7a0faf6eea06f929cb2d4e6e2562a7","Szymanczyk B. Kantor wymiany walut. Filia",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"14","Puławska 42, 05-500 Piaseczno, Poland",52.0902583,21.0188773,"43c2d861042aaceefb8e08e8ec5cb5ae389373e0","Kantor Wymiany Walut, CH Fashion House",NA,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
"15","Grójecka 42, 02-320 Warszawa, Poland",52.2177593,20.9818671,"307f6415b18a5109e87da2bc8f627a23f9c27778","Kantor Cris",3.5,"{finance: 1, point_of_interest: 1, establishment: 1}","kantor"
