"","address","lat","lon","id","name","rating","types","type"
"1","Nowowiejska 5, Warszawa, Poland",52.2198175,21.0140268,"c8eb8f662d2c1a4598137bc77904b7eaf175cd82","XeroDruk6gr",3.2,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"2","Królewska 2, Warszawa, Poland",52.24081,21.015692,"4bee7f01c53177ab3764866e009fcb52a69e41f1","XeroDruk5gr",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"3","Grzybowska 16/22, 00-132 Warszawa, Poland",52.236841,20.999379,"7d066774bd732ea4eeac0cd114ed539ec436595a","CCS Druk Cyfrowy Sp. z o.o.",4.5,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"4","Aleja Marszałka Józefa Piłsudskiego 83, 05-270 Marki, Poland",52.3243148,21.1057039,"ad034121017794b969d26d308adc37d65419b7dc","DL XERO",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"5","Czumy 20, Warszawa, Poland",52.2362958,20.9057245,"21952bc84aa23bd277756bd20bdf83bd68dbcc5f","Xero Wideo Joker",4.4,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"6","Józefa Poniatowskiego 1, 05-077 Warszawa, Poland",52.238432,21.046346,"fdb1f13520c7e609f44b29200917863a61bd006d","Drukarka Zeccer",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"7","Chodakowska 19/31, 03-812 Warszawa, Poland",52.2483814,21.0669934,"9f67c24d8453b69ca5e1cc82288807feab70fcaa","AXA CORPORATION",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"8","Kobielska 69, 04-371 Warszawa, Poland",52.2473307,21.0808687,"5b8bb5137efb77fccfcee4110e662339a7ba7eb7","MultiPrint.pl",3.8,"{point_of_interest: 1, establishment: 1}","ksero"
"9","Wyszogrodzka 140, Płock, Poland",52.5354189,19.7499525,"f210af4c0022a9d8f63a9a39d6dca6bba6195fd9","Hardy Multiserwis C.H. Auchan",NA,"{locksmith: 1, store: 1, point_of_interest: 1, establishment: 1}","ksero"
"10","Drewnowska 58, 91-071 Łódź, Poland",51.779842,19.446347,"af1b6a9b7c9849e823ae5f9c9e8cfa3070363763","QuickOffice",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"11","Aleje Jerozolimskie 56C, 00-866 Warszawa, Poland",52.2269862,20.9966594,"5d4e924790202427c54d771720b81ecf3ffed344","Copy General Sp. z o.o.",2.5,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"12","Lwowska 12, 00-660 Warszawa, Poland",52.2216892,21.0126352,"35d72d17063e5e49556a321d32b49183d8fa2fce","Centrum Dobrego Druku 24h",3.8,"{point_of_interest: 1, establishment: 1}","ksero"
"13","Grunwald 24, 14-107 Grunwald, Poland",53.4850779,20.0921727,"2ff76bc9ee43da58229296014bd942f23f3d0336","grunwald24",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"14","Wiśniowa 10, 87-200 Wąbrzeźno, Poland",53.2892389,18.9424469,"758f16330f15a34d626bf45edc73bceb8b050358","GEODEZJA ERGEO.PL Krzysztof Hałaj",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"15","Dębska Wola 26, 26-026 Morawica, Poland",50.709447,20.605148,"e579af66e728c72aaa1f25bf308468206324dd71","FIRMA HANDLOWO-USŁUGOWA ""SZEWCZYK"" - usługi ksero Kielce",NA,"{point_of_interest: 1, establishment: 1}","ksero"
"16","Matejki 14c, 87-300 Brodnica, Poland",53.248005,19.413045,"4080fbb9ccb4fd7f0643ff49329ea3346b37b185","Atlanta, mała poligrafia. Ksero kolorowe",NA,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"17","Rabsztyńska 2, 32-300 Olkusz, Poland",50.280975,19.568259,"8a2ff4cad2196b2005f278ad68cf72db6acc9b4d","Helkus Echo- dorabianie kluczy, pieczątki, klucze samochodowe z immobilizerem",NA,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"18","Na Stoku 35, 31-707 Kraków, Poland",50.0949537,20.0536591,"5b24581efd29a40d5fc699f7e3a49bdd15757364","FHU Gall - Lotto, Ksero",NA,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
"19","CENTRUM KOWALE, ul. Staropolska 32A, 80-180 Gdańsk, Poland",54.311215,18.567334,"9d16184095d06c143497e031534c23d85fb900e9","Fonka GSM ( InPost)",NA,"{post_office: 1, finance: 1, point_of_interest: 1, establishment: 1}","ksero"
"20","Michała Oczapowskiego 9, 11-041 Olsztyn, Poland",53.7552997,20.4602871,"6a22a4b34fc40d4caebb2a3b8740effd3c40133f","GRAFTEN",NA,"{store: 1, point_of_interest: 1, establishment: 1}","ksero"
