"","address","lat","lon","id","name","rating","types","type"
"1","01-999 Warsaw, Poland",52.2151532,21.0349992,"040eb2e5e830bb5f3abe90c2e1c8ebc9b019b322","Łazienki Park",4.7,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"2","Warsaw, Poland",52.2220488,21.0256881,"b6ffcd7ac4f969cc0db33b14eb3ebfad8f668bba","Park Ujazdowski",4.7,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"3","Górczewskiej, Warszawa, Poland",52.2409607,20.9532269,"f52a003c2031b8461116da15c1ea5731d0164171","Park Moczydło",4.6,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"4","Marszałkowska, Warszawa, Poland",52.2412598,21.0084464,"6c9bd8fbe83c6242f9e6c6f90676931342bdec2a","Ogród Saski",4.7,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"5","Spisaka, Ursus, Poland",52.1919903,20.8845242,"3b2d2a6ed24e7491f1cf4fbea62f8ff541ae74cc","Park Czechowicki",4.5,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"6","Warsaw, Poland",52.2051083,21.0265584,"a959b8ddc016981629914074dcf653f4b389a314","Park Morskie Oko",4.4,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"7","Przy Bażantarni, 02-793 Warszawa, Poland",52.1365059,21.0637396,"aebf1705109a2b2b23a2c34619529862d1348b95","Park Przy Bażantarni",4.7,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"8","aleja Komisji Edukacji Narodowej, Warszawa, Poland",52.1637333,21.0227975,"4d8a9a08e77230c21906f02bba59e2c1e5f98b97","Park Romana Kozłowskiego",4.5,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"9","Romera, Warszawa, Poland",52.1563021,21.0282691,"654c899a931225338dffdc6a2dd6c09a260edbdb","Park im. Jana Pawła II",4.4,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"10","Warsaw, Poland",52.2118961,21.0055269,"efa81df786ab30249167d86427173a642ac2bb70","Pole Mokotowskie",4.6,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"11","Chrościckiego, Warszawa, Poland",52.2073679,20.9123697,"ae30f24c61503e6dbf7686a4d64d4495bf04df5e","park Kombatantów",4.7,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"12","05-510 Konstancin-Jeziorna, Poland",52.0863699,21.1161994,"170240dfc8691e4aec51d8778975a512c5c37e3e","Park Zdrojowy im. hrabiego Witolda Skórzewskiego",4.7,"{park: 1, point_of_interest: 1, establishment: 1}","park"
"13","Bródno, 00-999 Warszawa, Poland",52.2906686,21.0369218,"11959c4d061c678c050a84d8a2315e843f382380","Park Bródnowski",4.6,"{park: 1, point_of_interest: 1, establishment: 1}","park"
