"","address","lat","lon","id","name","rating","types","type"
"1","Aleje Jerozolimskie 65/79, 00-697 Warszawa, Poland",52.2276942,21.0033595,"ac013d292be8cc5251bc84c8f5b36489ca947785","Champion's Sports Bar",3.8,"{bar: 1, restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"2","Waliców 13, 00-865 Warszawa, Poland",52.2351236,20.9919753,"797de8e33b2201752876641cd1e8e3bf9402ca37","Folk Gospoda",4.3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"3","Fryderyka Chopina 5, 00-539 Warszawa, Poland",52.2229526,21.0210434,"6b6630e53cad7788f388fc88f42de6f9bd92ad7b","Flaming & Co Restaurant",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"4","Podwale 25, Warszawa, Poland",52.25004,21.0093774,"10c43b66f39a5017dc3514d22f650b95bbfa26df","Podwale 25 - Kompania Piwna",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"5","Żurawia 22, 00-001 Warszawa, Poland",52.228569,21.0155287,"a3b7f318cfba194fa9c440aa2bf8650034e9deae","Butchery & Wine",4.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"6","Szkolna 2/4, 00-006 Warszawa, Poland",52.236142,21.009551,"e047b2d14ee95da2c21ed722ffe6e03ba300c263","Banjaluka",4.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"7","Hoża 58/60, 00-682 Warszawa, Poland",52.2258986,21.0112158,"bc827157835827142d4fbc8276bdea944cc956ab","Delizia",4.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"8","Foksal 17, Warszawa, Poland",52.233573,21.020737,"3d44e2e4cc973affab5e924c8be49badedaf5e91","Chianti Trattoria Włoska",4.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"9","Chocimska 7, Warszawa, Poland",52.2083889,21.0234679,"12a887a309abcd29229374d75ea49d57a59a3303","Restauracja Różana",4.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"10","Aleje Jerozolimskie 65/79, Warszawa, Poland",52.2276943,21.0043145,"aab47d52b649d89ca7a1fccab6c23640d2650a46","Parmizzano's",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"11","Świętojańska 2, Warszawa, Poland",52.248317,21.013857,"6c03ef29d6e3f2a39868efb31dc8347e12963d2c","Polka",3.3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"12","rynek Starego Miasta 27, Warszawa, Poland",52.249628,21.011476,"cd6919e3d299d89f64629d52f45c12c27b9bf8b8","U Fukiera",3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"13","rynek Starego Miasta 1/3, Warszawa, Poland",52.249549,21.012849,"3a765da7fb5e26d96c8d4f74ce4bed877a320782","Bazyliszek",3.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"14","Mazowiecka 10, 00-048 Warszawa, Poland",52.2374998,21.0132731,"00c45874262e37dd8705f9d4b793a6f3c6acc9c7","Kuźnia Smaku",4.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"15","Senatorska 37, Warszawa, Poland",52.2422531,21.0048967,"51e916e2fd43c111efec6924d248da27ea03c37a","St. Antonio",4.4,"{restaurant: 1, bar: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"16","Krakowskie Przedmieście 64, Warszawa, Poland",52.245307,21.01443,"93d259a65f75104803ff4513b0a3acadf5523674","Restauracja Delicja Polska",4.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"17","Aleje Jerozolimskie 45, 00-692 Warszawa, Poland",52.229227,21.009853,"d32efae65c6f7485719adc88662266c18016b1e9","Restauracja Strauss",NA,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"18","ul. Grzybowska 5a, 00-132 Warszawa, Poland",52.236688,21.0008,"d6c05a3c3109517769e0e0530e26e292364cdd74","Casa Pablo",4.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"19","Żelazna 68, 00-866 Warszawa, Poland",52.2369599,20.989673,"0e32b1fb94e819b17298f5910730351bc0a010c7","Oberża Pod Czerwonym Wieprzem",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"20","Emilii Plater 49, 00-001 Warszawa, Poland",52.232457,21.002828,"bbf154f3035c49d0a39ccf3548a22f7e5fa9a020","Platter by Karol Okrasa",4.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"41","plac Trzech Krzyży 3, Warszawa, Poland",52.2276627,21.0227275,"bcc94fa7101a05aa58b6ee677c0b1fe4a130a251","AleGloria",3.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"42","Aleje Jerozolimskie 6, Warszawa, Poland",52.2325956,21.0229862,"2a4a9792a1d24ad1a485f385bd4051fc427716ff","City 24",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"43","Wał Miedzeszyński 389A, Warszawa, Poland",52.2249382,21.0557194,"47f62f67ed70a62c2a647dfed5d240110a8946ec","BOATHOUSE",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"44","aleja Jana Pawła II 23, 00-854 Warszawa, Poland",52.2363418,20.9962678,"c4b90c0514e57f010d799ce5af45aef4e25ebd5f","Bombaj Masala",4.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"45","Nowogrodzka 15, 00-511 Warszawa, Poland",52.2295986,21.0165745,"76ce87095d0daed4e8b7cfbbcacf9bc5196ce049","Namaste India: Restauracja Indyjska Warszawa",4.2,"{grocery_or_supermarket: 1, restaurant: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","restaurant"
"46","Taśmowa 7, 02-677 Warszawa, Poland",52.1802831,20.9900099,"ee1e1538ab47b458d6e3eaae9387aa27a9fd4710","Vapiano",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"47","Nowy Świat 49, 00-042 Warszawa, Poland",52.2351418,21.0183183,"36e87a46defd44c00c369145d34e1c1ec4d061a8","Restauracja Dawne Smaki",4.3,"{restaurant: 1, cafe: 1, park: 1, bar: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"48","aleja Krakowska 240/242, 02-174 Warszawa, Poland",52.189187,20.957784,"ba3d81e3fd231e4fc7c8de73d400ee7fedbe1426","Maho",4.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"49","Zgoda 1, Warszawa, Poland",52.2325109,21.014325,"8bb75a881c774c5cac3a94da613700f63568bb19","Borpince - restauracja węgierska, winiarnia",4.6,"{restaurant: 1, meal_takeaway: 1, bar: 1, liquor_store: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","restaurant"
"50","Aleje Jerozolimskie 111, Warszawa, Poland",52.225868,20.994173,"8289d012b9e3df6f3ca0bc7d4670b10e05108a9d","Grand Kredens",3.8,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"51","Świętokrzyska 18, 00-052 Warszawa, Poland",52.2360267,21.0114327,"b3e81ad338bc874e6c72cd651f8b9c43474c61df","AiOLI",4.3,"{restaurant: 1, cafe: 1, bar: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"52","Żurawia 47/49, Warszawa, Poland",52.227207,21.0110668,"1fbe3a20b030c8c4b10bb5011d47468604a646d4","Smaki Warszawy",3.8,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"53","Freta 3, Warszawa, Poland",52.2510883,21.0085926,"d2242b15085ee20e8d3773745c12b46588dd9960","Pod Samsonem",3.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"54","plac Zamkowy 15/19, Warszawa, Poland",52.2481209,21.0136351,"34c2325611fa4bab0c62792f7793f0547b569fa3","Restauracja Przy Zamku",3.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"55","Aleje Jerozolimskie 28, Warszawa, Poland",52.2317788,21.0196828,"6f0838ebd037e78bfae585e580d9a1dee5b970cd","Zapiecek",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"56","Nowy Świat 58, Warszawa, Poland",52.2354179,21.0186858,"eb3f5cb91a179f04a3a5adb41aca81f49f34d09d","Bollywood Lounge Restaurant, Club, Cocktail & Drink Bar",3.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"57","00-021, Chmielna 5, Warszawa, Poland",52.232976,21.0182781,"64c2a6520b05fe523a665d62b78c407d9600e7af","Toan Pho",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"58","plac Bankowy 1, Warszawa, Poland",52.2417021,21.0032765,"9ea762602bd8993d2a290f8baa492ac888840674","Der Elefant",4.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"59","Nowy Świat 23, 00-029 Warszawa, Poland",52.2327411,21.0197173,"84b5d64e2bb66a8feaa2ed10e631d8ec34879e9b","Buddha Indian Restaurant",4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"60","Hoża 27A, 00-521 Warszawa, Poland",52.2263539,21.015377,"7d9ae350f969125587c7f89d532d7ce802051693","Four Seasons Vietnamese Restaurant, kuchnia wietnamska, kuchnia azjatycka",4.7,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"61","plac Marszałka Józefa Piłsudskiego 9, Warszawa, Poland",52.2431008,21.0116329,"27f90feede23f7a9f48e6441f31c3a4e7dc65620","Bistro de Paris Michel Moran",4.6,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"62","Francuska 11, Warszawa, Poland",52.2326121,21.054686,"6c41583dc5c644e35df6fe5d6ff41993f4ea3ff5","Dom Polski",4.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"63","Aleje Jerozolimskie 65/79, 00-697 Warszawa, Poland",52.227746,21.004269,"8d5d1fd759ae051bc228efe644253fb3232f461b","Wook",3.1,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"64","Grzybowska 9, 00-131 Warszawa, Poland",52.2362695,20.9990144,"7450a832e46e26d0010a037871ef3687da52c7cd","El Greco",3.9,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"65","Puławska 104/106, 02-001 Warszawa, Poland",52.1954901,21.0237605,"fadf59d55b089bf014be3bc2f16ef537eca6b482","Restauracja Stary Dom",4.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"66","Nowy Świat 64, Warszawa, Poland",52.236448,21.018268,"dc9f171ed6ea8c2ebbf586fb77966802dfcaf7d3","La Cantina",4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"67","Nowogrodzka 47A, 00-695 Warszawa, Poland",52.2274929,21.0083975,"3c4029d11aac903e38903e2118dc2293888ca6a0","Nippon-Kan",4.3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"68","plac Konstytucji 1, Warszawa, Poland",52.2213354,21.0160374,"47a23a0d9ed152f4eb2b9683c7b9da1e95ab6be0","U Szwejka",4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"69","Królewska 1, Warszawa, Poland",52.2405697,21.0160948,"0ae51336ef76a421119ffa8d3f76c6e5010618ca","BrowArmia Królewska",3.8,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"70","Oboźna 9 lok. 102, 00-332 Warszawa, Poland",52.238968,21.02011,"dd89fd729d519de0bfac5dcb24b3e93609121893","Restauracja Babooshka ul. Oboźna",4.2,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"71","AL. JEROZOLIMSKIE, Aleje Jerozolimskie 63, 00-697 Warszawa, Poland",52.2280727,21.0057479,"ca71b4470ddab2f38e4266dec9e61ac6c8d817b6","Vapiano",4.3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"72","Foksal 16, Warszawa, Poland",52.2338022,21.0206732,"9d474d44287d8325b04488f3dcfb1a4d43007a32","Thai Me Up",4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"73","Bracka 2, 00-502 Warszawa, Poland",52.2296431,21.0209364,"fbdab61de6c3aa19ef2d0eee3e03bc51744329df","Ole! Tapas Steak Restaurant",4.5,"{bar: 1, restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"74","Krakowskie Przedmieście 87/89, Warszawa, Poland",52.2467779,21.0131741,"088efe9937e6cdfe92184c656865ed75adcb8796","Restauracja Literatka",3.5,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"75","Bracka 9, 00-501 Warszawa, Poland",52.2306375,21.0188118,"239cf61a22ec7de540a9fd58f7319a9878f44879","Concept 13. Restauracja",4.3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"76","Piwna 27, 00-001 Warszawa, Poland",52.248973,21.011674,"4b1376a9aec06853ff750e6b312e2482c3bf5d9a","Kmicic Restauracja",4.3,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
"77","Żwirki i Wigury 32, Warszawa, Poland",52.2110141,20.9889793,"b439115578163ae7dea5f2ecb464160add7b063a","Jeff's Pole Mokotowskie",4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","restaurant"
