"","address","lat","lon","id","name","rating","types","type"
"1","Marszałkowska 115, Warszawa, Poland",52.241085,21.003139,"f0977c7fb8eb97bb614ec8df7e0830fa589b2691","Teatr Capitol",4.2,"{point_of_interest: 1, establishment: 1}","teatr"
"2","aleja Solidarności 93, 00-144 Warsaw, Poland",52.243063,20.9986141,"6249c63a513078b705bf67247d5de299c6fd3909","Teatr Kamienica",4.8,"{point_of_interest: 1, establishment: 1}","teatr"
"3","Jezuicka 4, Warszawa, Poland",52.249697,21.013999,"6005544db5aeb2a4acbec23df67b674479c7a1d4","Teatr Małego Widza",4.6,"{point_of_interest: 1, establishment: 1}","teatr"
"4","Marii Konopnickiej 6, Warszawa, Poland",52.228155,21.026099,"3e9a22657e69ea84bf264da16b95fcd5ca7ec107","Studio Buffo",4.4,"{restaurant: 1, food: 1, point_of_interest: 1, establishment: 1}","teatr"
"5","Jagiellońska 28, 03-719 Warszawa, Poland",52.252476,21.034565,"c0697d45a07b3c617fdd3f0a990547f26f98ff89","Teatr Baj",4.5,"{point_of_interest: 1, establishment: 1}","teatr"
"6","budynek 8, Mińska 25, 03-808 Warszawa, Poland",52.2509716,21.0621027,"13971ccabdf8db7b97a92cca4b1dd09765338297","Teatr Niewielki",4.7,"{point_of_interest: 1, establishment: 1}","teatr"
"7","Ścieżka Szkolna 3/8, 87-100 Toruń, Poland",53.015199,18.63277,"8de82bafc3079a90429156f380a31ed71d7e9bc5","Teatr Vaśka",NA,"{point_of_interest: 1, establishment: 1}","teatr"
"8","Odeska 1, 15-406 Białystok, Poland",53.129911,23.150471,"fb8c2735674fb93bcd1c0ebffa248e12d38849f3","Opera i Filharmonia Podlaska Europejskie Centrum Sztuki w Białymstoku",4.7,"{point_of_interest: 1, establishment: 1}","teatr"
"9","Plac Teatralny 1, 20-029 Lublin, Poland",51.246914,22.54864,"fdfc34db20a5e93b6cf82f57d56639c99bfdbb9d","Teatr im. Hansa Christiana Andersena w Lublinie",4.4,"{point_of_interest: 1, establishment: 1}","teatr"
"10","Elektryczna 12, Białystok, Poland",53.1297087,23.1699653,"309c4f453fcde54f0bb476b6b407aa2e78458883","Teatr Dramatyczny im. Aleksandra Węgierki",4.5,"{point_of_interest: 1, establishment: 1}","teatr"
"11","Peowiaków 12, 20-007 Lublin, Poland",51.2463317,22.5578518,"5c9cf01d07f23c4079c36b1cd2491161dd80474f","Centrum Kultury w Lublinie",4.8,"{art_gallery: 1, point_of_interest: 1, establishment: 1}","teatr"
"12","Elbląska 7, 82-440 Dzierzgoń, Poland",53.925602,19.3443244,"7208ceed1d44d941ad2794f5b89efb2d9c45b3fa","Teatr 3.5",NA,"{point_of_interest: 1, establishment: 1}","teatr"
"13","Budzyno Walędzięta 54, 06-200 Maków Mazowiecki, Poland",52.900079,21.095346,"3c5fc26e8797d91d4b96093a9b362d4676e85125","Teatr Tańca z Ogniem ""Mantra""",NA,"{point_of_interest: 1, establishment: 1}","teatr"
"14","Plac Tysiąclecia Państwa Polskiego 1, Chełm, Poland",51.132038,23.489706,"35538d77f47e784f9a8d75b91d91ffe9ca9f4649","Chełmski Dom Kultury",4.4,"{movie_theater: 1, store: 1, point_of_interest: 1, establishment: 1}","teatr"
"15","Zakopiańska 62, Kraków, Poland",50.015105,19.9295207,"85d45f73564d028195936c4ad79c7f0ee0774bb1","Teatr MIST",NA,"{point_of_interest: 1, establishment: 1}","teatr"
"16","Gdańska 4, Pabianice, Poland",51.6647111,19.3610998,"4ea1a084a994ad1f58d3bae2526e6b5eab6ae4ee","Kino Teatr TOMI",4.4,"{movie_theater: 1, point_of_interest: 1, establishment: 1}","teatr"
"17","Zamkowa 4, 32-005 Niepołomice, Poland",50.0356277,20.2178775,"78f008f5bcdc2c881a5826556c755e313976da4d","Małopolskie Centrum Dźwięku i Słowa",4.5,"{museum: 1, art_gallery: 1, movie_theater: 1, point_of_interest: 1, establishment: 1}","teatr"
"18","Śląska 50, 81-310 Gdynia, Poland",54.5138914,18.5327612,"7bcbbe3a1748372d9647b8b45e80c1b0739b064f","Teatr Gargulec czyli teatr dla dzieci",NA,"{point_of_interest: 1, establishment: 1}","teatr"
"19","Stanisława Moniuszki 12, 81-829 Sopot, Poland",54.4446009,18.5444703,"794d2349b1462249b027ed0f35787d95a841e797","Opera Leśna",4.6,"{point_of_interest: 1, establishment: 1}","teatr"
