"","address","lat","lon","id","name","rating","types","type"
"1","Konstantego Ildefonsa Gałczyńskiego 31a, 05-800 Pruszków, Poland",52.1833137,20.8179472,"1c2bcba0bc0a17d9a399bf1b36ddd62317685362","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"2","Szeligowska 5, 01-319 Warszawa, Poland",52.218021,20.8988969,"96960e4387faeaadc8e6e582270d29d28850e484","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"3","Kasprowicza 119A/u5, 01-949 Warszawa, Poland",52.2898447,20.9298845,"bb6688004590dbe0cad186e638161ec73835b0fe","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"4","Świerszcza 62, 02-401 Warszawa, Poland",52.2033155,20.9042224,"265a536e90e9c8af4fbaf7238c34f7a295448b22","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"5","Generała Kazimierza Sosnkowskiego, 02-495 Warszawa, Poland",52.1879125,20.8903629,"b5233dfb9b75ccb02abb043908560fbf0bf18fe1","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"6","Cybernetyki 7C/U1, 02-677 Warszawa, Poland",52.1740099,20.9974615,"e16408b0c9596f5f8709ef1c535aede8ed4beed2","Żabka",NA,"{grocery_or_supermarket: 1, liquor_store: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"7","Sarmacka 20, Warszawa, Poland",52.1598382,21.0787038,"b6b770efd3826793bc0fbe837ac95e16cd9f0071","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"8","Fasolowa 39, Warszawa, Poland",52.1993728,20.9055448,"920d9f58754316b2cae738a29b9be5aec1876a2f","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"9","Madalińskiego 55, Warszawa, Poland",52.2034801,21.0117683,"966e453674c604b72b7fbbe80fa33c8e569ea231","Żabka",4.1,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"10","aleja Bohaterów Września, 01-999 Warszawa, Poland",52.2111879,20.9617771,"e6179234fd22ca4b07a027270c94cd342af7b1d8","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"11","Chodkiewicza 3, 02-593 Warszawa, Poland",52.2024355,20.9950904,"ef344a2f789710b5cfa6bfe319c24641c300fe4a","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"12","1 Sierpnia 27, Warszawa, Poland",52.1930128,20.9733725,"f59ffca8f9dd9a85f264f8fcfdebb81d1070ece1","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"13","01-999 Warsaw, Poland",52.2090596,20.9642315,"16a837d300304c5f69b2ff4f5ed1e635fba28376","Żabka",4,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"14","Rawska 19, Skierniewice, Poland",51.9550531,20.1452015,"118e8f286148b89ef1ad8225aa6faf6dfabf4042","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"15","Księdza Ottona Wittenberga 2, Żyrardów, Poland",52.0540046,20.4274598,"acf5dbee576f1e2708fecbb1ed73a501ed808fdb","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"16","Pańska 98/202, 00-837 Warszawa, Poland",52.2306983,20.9890929,"d8a5ab9a910447aca3923af6473a940e350656bc","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"17","Stawki 6, 00-193 Warszawa, Poland",52.2535086,20.9913124,"f1df6abcbd87a29b353c4edfe9d22c5c60a2f822","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"18","Księcia Józefa Poniatowskiego, 05-870 Błonie, Poland",52.1893617,20.6227569,"f9b131a6eaee4d5b0a24ad9d28af9d596d4c9f4f","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"19","Szczygla 8, Warszawa, Poland",52.2349384,21.0218899,"27e88d0d005bbced1f87f0a8fc706abf9f567198","Żabka. Sklep spożywczo - przemysłowy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"20","Lewiczyńska 3, 05-600 Grójec, Poland",51.8650804,20.8658957,"d58e30f81eec157e484e713728d5694696be1610","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"41","Braci Wagów 11, 02-791 Warszawa, Poland",52.142134,21.049652,"3734934af589e5e3ab91f5ab63e12ae19b99c3d3","Sklep Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"42","Grójecka 186, Warszawa, Poland",52.2019818,20.9669902,"cf6add223318970691d09ffb35c9d7d970600598","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"43","Lotaryńska 48, Warszawa, Poland",52.2265826,21.0639989,"85a2bbe043e794bb20740a1294b37fa3ffe69c55","Żabka",3.8,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"44","Łojewska 12A, Warszawa, Poland",52.2960044,21.0378734,"a7b404d820f5359f4c7730f2b6f8dc17d4ae2de5","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"45","Wólczyńska 3, Warszawa, Poland",52.2779113,20.9379204,"b6893333800ff43f81187eac355f8f04d0ad3947","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"46","Bellottiego, 01-001 Warszawa, Poland",52.2429396,20.9814593,"a593ef4bdacc2c8857c06651ca66e1864813701a","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"47","Bazyliańska 20, Warszawa, Poland",52.2931447,21.0261365,"cdc019354aaa9004c68f7efa153474c9c98824b9","Żabka",3.9,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"48","Heroldów 19B, Warszawa, Poland",52.3034502,20.9299271,"928f2a7549e26559ad01c0c52f5c32376563a65d","Żabka. Sklep spożywczo - przemysłowy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"49","Morcinka 5, 01-496 Warszawa, Poland",52.260383,20.92113,"b08932142233a436558d5451150f0620d0defa8d","Żabka. Sklep spożywczo - przemysłowy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"50","Bukowińska 12, Warszawa, Poland",52.1801009,21.0270777,"7a95c322feb649aa072ccc2f67ee5627cfc51553","Żabka. Sklep spożywczo - przemysłowy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"51","Postępu 10/174, Warszawa, Poland",52.1754499,20.9952995,"7dae52a31e3bcc59ad560756470a503a5f2c9269","Żabka. Sklep spożywczy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"52","Narutowicza 47, Ząbki, Poland",52.3020972,21.0962176,"eecef3c5a2eac3791455543e4556be38466f52fc","Żabka Sklep Spożywczy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"53","Dereniowa 52/54, Warszawa, Poland",52.1498133,21.039733,"c3f00cac8013440ba18119441fbdf04898f9ef08","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"54","aleja Krakowska 31, Raszyn, Poland",52.1551733,20.9212728,"8cb274850482a59b19d4be662185b260a6b5aa07","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"55","Jastrzębowskiego 24, Warszawa, Poland",52.1616793,21.037691,"262c2908b77e922f047c43cb8927eb36ba70a3eb","Żabka Polska S.A.",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"56","Gościniec, 00-999 Warszawa, Poland",52.2213315,21.2468763,"5eea64fef0f422211fab25ee7ea14bad412f3acb","Żabka - sklep spożywczy",NA,"{convenience_store: 1, grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"57","Kobielska 6, 01-999 Warszawa, Poland",52.2472637,21.0912663,"f58f1dc2b908ef3738bd8c2d93b25b164e97c083","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"58","Jana Kazimierza 30/6, 01-248 Warszawa, Poland",52.2246811,20.9439219,"1972d477aad8ae63cae2f3bb5cd641383dd755d3","Sklep Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"59","Książkowa 9C, 03-134 Warszawa, Poland",52.3311686,20.9406146,"bf9a3c95a53a8c96a356e675ac5dadb7ce184807","Żabka",NA,"{convenience_store: 1, grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"60","Domaniewska 47, 02-663 Warszawa, Poland",52.1830567,20.9934247,"51fdc9bb58d61ab39865a3e060bd2a6b2087e8ba","Żabka",4.4,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"61","Wiejska 13, 05-092 Łomianki, Poland",52.3411072,20.8874875,"c7394519cb80b17de5f4bcbc7f8c26d3fcf00891","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"62","Henryka Sienkiewicza, 05-122 Legionowo, Poland",52.4001764,20.9379415,"a63df8aa81cc9b402432aca764d355c97bf620ec","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"63","Grupy AK ""Północ"" 2, 00-712 Warszawa, Poland",52.2114979,21.0587395,"ee6a5d49102eca740481f5c8e8e7e264de1cfaf7","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"64","Gagarina 26/u1, 00-748 Warszawa, Poland",52.2069969,21.0378977,"4f3a5d84c40bb3fc85f4d06e7b55f62fe78d1f77","Żabka",4,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"65","Wiktorska 7, 02-587 Warszawa, Poland",52.2009187,21.022477,"f28ebd335fddc149b690e8fb03363b1674cfa858","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"66","Melomanów 10/6U, Warszawa, Poland",52.2070918,21.0523129,"d9e68fcc257a6b85ba15e6cd73f77a474725a2d7","Żabka. Sklep spożywczo - przemysłowy",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"67","Młynarska, 05-509 Piaseczno, Poland",52.0781972,21.0296658,"a3f3682e3bfcf0c45b1b20f5c8f3748ff186f853","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"68","Brożka 18, 01-451 Warszawa, Poland",52.2429429,20.9402794,"70241db7a1f56b86369cce8ea726ef4e52bea22c","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"69","Chyliczkowska, 05-509 Piaseczno, Poland",52.0758427,21.0286004,"20c75f5428c18cf247a2c5deecd1b1215e0fbafb","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"70","05 870, Henryka Sienkiewicza 3, 05-870 Błonie, Poland",52.1950864,20.6187475,"3695976c6873441a2b90b9f21da623e434715b67","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"71","Chabrowa 2, 96-106 Skierniewice, Poland",51.9441839,20.143151,"750ed26a52eb2c0ac948936e58c7c7b7475f8a79","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
"72","Ryżowa 48 lok. 268, 02-495 Warszawa, Poland",52.1893587,20.9057308,"8519c8d7cb31039e668618d12649129174fa0b78","Żabka",NA,"{grocery_or_supermarket: 1, food: 1, store: 1, point_of_interest: 1, establishment: 1}","żabka"
